1	10	9	38309.5888407	0.0000383	29316	13603
2	10	11	44351.3977144	0.0000444	16940	16713
3	10	13	51044.9467734	0.0000510	-44448	18487
4	10	10	43787.7281781	0.0000438	25217	21286
5	20	24	98822.0378053	0.0000988	-32021	9787
6	20	24	105718.8573739	0.0001057	25130	9276
7	20	28	134031.3407179	0.0001340	-41693	7132
8	20	26	114722.4178873	0.0001147	-37205	8397
9	40	56	255071.3821475	0.0002551	-114203	3865
10	40	50	248330.5537729	0.0002483	-31929	3989
11	40	50	256882.2292204	0.0002569	-79570	3874
12	40	52	241759.0395296	0.0002418	-79741	3997
13	80	108	801811.0751020	0.0008018	-139926	1225
14	80	99	716404.7953724	0.0007164	-198094	1383
15	80	104	732120.7298298	0.0007321	-110571	1351
16	80	114	934089.6933333	0.0009341	-233320	1050
17	100	136	1141836.2448513	0.0011418	-141960	874
18	100	129	924543.3148148	0.0009245	-271743	1080
19	100	137	922108.6626054	0.0009221	-288906	1067
20	100	132	926144.7014925	0.0009261	-229506	1072
21	200	267	2905119.5714286	0.0029051	-510185	336
22	200	269	3079901.2408537	0.0030799	-515136	328
23	200	269	3062370.9631902	0.0030624	-444357	326
24	200	267	3449758.7577855	0.0034498	-393278	289
25	400	540	11152807.2247191	0.0111528	-1119906	89
26	400	518	9591474.8571429	0.0095915	-788168	105
27	400	538	10962710.3444444	0.0109627	-895704	90
28	400	526	10673518.0967742	0.0106735	-733645	93
29	800	1063	37964609.0000000	0.0379646	-1541291	26
30	800	1058	37701474.6153846	0.0377015	-1578294	26
31	800	1076	36661267.0740741	0.0366613	-1664316	27
32	800	1049	41528325.5833333	0.0415283	-1652119	24
33	1000	1300	56174018.5294118	0.0561740	-2089013	17
34	1000	1313	63600892.1333333	0.0636009	-1934208	15
35	1000	1328	59794412.0625000	0.0597944	-2229428	16
36	1000	1344	61854901.8125000	0.0618549	-2356163	16
37	2000	2699	236135664.0000000	0.2361357	-4811598	4
38	2000	2654	236604744.5000000	0.2366047	-4739387	4
39	2000	2652	234245281.0000000	0.2342453	-4717250	4
40	2000	2677	246662528.5000000	0.2466625	-4537267	4
41	4000	5360	912594104.0000000	0.9125941	-8722212	1
42	4000	5315	968720773.0000000	0.9687208	-9314968	1
43	4000	5340	899673136.0000000	0.8996731	-9845767	1
44	4000	5368	1003618763.0000000	1.0036188	-8681447	1
45	8000	10705	3698823422.0000000	3.6988234	-17844628	1
46	8000	10670	3665222853.0000000	3.6652229	-18798446	1
47	8000	10662	3684639303.0000000	3.6846393	-18741474	1
48	8000	10757	3829282036.0000000	3.8292820	-18178610	1
49	10000	13301	5780728292.0000000	5.7807283	-22079522	1
50	10000	13340	5819827165.0000000	5.8198272	-22338561	1
51	10000	13287	5624067894.0000000	5.6240679	-22581384	1
52	10000	13311	5843340473.0000000	5.8433405	-22606313	1
53	20000	26667	23888895940.0000000	23.8888959	-45962292	1
54	20000	26826	23449849119.0000000	23.4498491	-45195405	1
55	20000	26673	23745057886.0000000	23.7450579	-47854708	1
56	20000	26670	23544887011.0000000	23.5448870	-46418161	1
57	40000	53415	118890358713.0000000	118.8903587	-92003321	1
58	40000	53446	120358945675.0000000	120.3589457	-94397064	1
59	40000	53242	117938669012.0000000	117.9386690	-88771991	1
60	40000	53319	118288795158.0000000	118.2887952	-93017025	1
61	80000	106914	643469573106.0000000	643.4695731	-186834082	1
62	80000	106633	658110627498.0000000	658.1106275	-185997521	1
63	80000	106586	667819692588.0000000	667.8196926	-182065015	1
64	80000	106554	656982775681.0000000	656.9827757	-180793224	1
65	100000	133395	1113112826154.0000000	1113.1128262	-230698391	1
66	100000	133214	1112607324308.0000000	1112.6073243	-230168572	1
67	100000	133524	1131364649966.0000000	1131.3646500	-231393935	1
68	100000	133463	1110298442370.0000000	1110.2984424	-231011693	1
